coverage	n
1	0
2	0
3	0
4	9
5	4
6	0
7	0
8	0
9	0
10	0
11	2
12	22
13	36
14	99
15	158
16	241
17	263
18	362
19	512
20	630
21	639
22	711
23	893
24	1102
25	1246
26	1337
27	1389
28	1505
29	1650
30	1680
31	1713
32	1542
33	1458
34	1343
35	1412
36	1490
37	1550
38	1469
39	1228
40	1013
41	836
42	803
43	675
44	613
45	517
46	445
47	395
48	366
49	262
50	221
51	182
52	137
53	104
54	73
55	45
56	27
57	24
58	10
59	19
60	33
61	13
62	9
63	14
64	28
65	26
66	15
67	6
68	1
69	8
70	3
71	5
72	2
73	4
74	7
75	1
76	2
77	5
78	1
79	0
80	1
