coverage	n
1	0
2	5
3	1
4	2
5	1
6	1
7	1
8	6
9	20
10	41
11	84
12	84
13	96
14	130
15	257
16	285
17	360
18	347
19	494
20	545
21	775
22	998
23	1108
24	1221
25	1361
26	1562
27	1826
28	2000
29	2186
30	2253
31	2407
32	2282
33	2327
34	2110
35	2072
36	2172
37	2156
38	1848
39	1559
40	1488
41	1327
42	1232
43	1050
44	849
45	791
46	626
47	558
48	495
49	454
50	423
51	373
52	275
53	249
54	200
55	176
56	153
57	137
58	129
59	149
60	99
61	90
62	128
63	84
64	87
65	141
66	84
67	85
68	74
69	81
70	45
71	41
72	38
73	40
74	30
75	20
76	29
77	15
78	10
79	8
80	12
81	15
82	19
83	19
84	13
85	6
86	8
87	3
88	2
89	2
90	1
91	0
92	2
93	1
