coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	4
8	5
9	8
10	29
11	41
12	35
13	71
14	77
15	100
16	188
17	312
18	431
19	514
20	737
21	774
22	954
23	1245
24	1390
25	1567
26	1621
27	1718
28	1964
29	1784
30	1727
31	1718
32	1559
33	1615
34	1653
35	1584
36	1565
37	1351
38	1399
39	1223
40	983
41	837
42	801
43	661
44	461
45	422
46	355
47	281
48	239
49	301
50	230
51	215
52	160
53	141
54	115
55	87
56	70
57	63
58	74
59	89
60	72
61	57
62	39
63	37
64	41
65	35
66	33
67	38
68	36
69	29
70	28
71	30
72	32
73	19
74	25
75	16
76	6
77	3
78	2
79	1
80	2
81	1
