coverage	n
1	0
2	0
3	0
4	8
5	10
6	20
7	76
8	128
9	99
10	159
11	292
12	499
13	760
14	952
15	1161
16	1725
17	2138
18	3022
19	3891
20	4368
21	5269
22	5590
23	6145
24	6888
25	7213
26	8242
27	8581
28	9017
29	9918
30	10000
31	10298
32	10529
33	9761
34	9648
35	9111
36	8456
37	8061
38	7253
39	7040
40	6570
41	5786
42	5141
43	4475
44	3706
45	3482
46	3296
47	2863
48	2242
49	2100
50	1852
51	1539
52	1233
53	1139
54	1137
55	892
56	744
57	681
58	497
59	456
60	404
61	358
62	324
63	344
64	322
65	232
66	296
67	254
68	221
69	167
70	151
71	163
72	161
73	128
74	119
75	94
76	115
77	104
78	68
79	88
80	86
81	78
82	83
83	60
84	46
85	60
86	55
87	49
88	47
89	38
90	34
91	44
92	39
93	31
94	27
95	16
96	16
97	31
98	19
99	8
100	13
101	8
102	8
103	3
104	6
105	5
