coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	1
32	1
33	0
34	0
35	2
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	1
84	0
85	0
86	1
87	3
88	4
89	2
90	1
91	0
92	1
93	1
94	0
95	4
96	1
97	3
98	3
99	3
100	2
101	5
102	8
103	8
104	2
105	8
106	3
107	4
108	3
109	9
110	8
111	11
112	7
113	9
114	10
115	2
116	9
117	23
118	12
119	13
120	12
121	10
122	10
123	14
124	9
125	13
126	16
127	10
128	10
129	13
130	1
131	5
132	1
133	3
134	1
135	1
136	1
137	13
138	19
139	10
140	8
141	8
142	16
143	14
144	9
145	16
146	15
147	12
148	5
149	9
150	8
151	5
152	7
153	6
154	3
155	2
156	4
157	8
158	8
159	7
160	8
161	9
162	6
163	15
164	5
165	9
166	5
167	8
168	6
169	3
170	1
171	3
172	8
173	4
174	5
175	9
176	15
177	10
178	15
179	15
180	13
181	11
182	9
183	11
184	8
185	17
186	20
187	21
188	17
189	10
190	13
191	9
192	7
193	11
194	10
195	6
196	10
197	11
198	12
199	9
200	12
201	14
202	10
203	10
204	8
205	5
206	7
207	4
208	0
209	1
210	1
211	1
212	1
213	0
214	1
215	3
216	4
217	1
218	1
219	1
220	1
221	0
222	2
223	2
224	1
