coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	8
12	8
13	32
14	20
15	23
16	29
17	63
18	33
19	61
20	65
21	45
22	82
23	130
24	139
25	198
26	186
27	232
28	262
29	228
30	135
31	191
32	231
33	217
34	155
35	120
36	95
37	77
38	39
39	69
40	50
41	66
42	99
43	83
44	45
45	47
46	29
47	10
48	5
49	1
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	0
59	0
60	0
61	0
62	0
63	0
64	0
65	0
66	0
67	0
68	0
69	0
70	0
71	0
72	0
73	0
74	0
75	0
76	0
77	0
78	0
79	0
80	0
81	0
82	0
83	0
84	0
85	0
86	0
87	0
88	0
89	0
90	0
91	0
92	0
93	0
94	0
95	0
96	0
97	0
98	0
99	0
100	0
101	0
102	0
103	0
104	0
105	0
106	0
107	0
108	0
109	0
110	0
111	0
112	0
113	0
114	0
115	0
116	0
117	0
118	0
119	0
120	0
121	0
122	0
123	0
124	0
125	0
126	0
127	0
128	0
129	0
130	1
131	2
132	3
133	2
134	0
135	0
136	0
137	1
138	1
139	1
140	0
141	0
142	2
143	1
144	0
145	1
146	0
147	2
148	1
149	5
150	0
151	0
152	3
153	0
154	1
155	1
