coverage	n
1	1
2	1
3	0
4	0
5	21
6	69
7	123
8	196
9	328
10	426
11	560
12	794
13	1118
14	1389
15	1870
16	2705
17	3058
18	4540
19	5054
20	5963
21	7120
22	8295
23	9937
24	11036
25	12160
26	13296
27	13826
28	14317
29	14279
30	14632
31	13920
32	14054
33	13579
34	12706
35	12116
36	11349
37	10388
38	9110
39	8134
40	7429
41	6582
42	5614
43	5171
44	4580
45	3768
46	3155
47	2592
48	2226
49	2065
50	1696
51	1532
52	1288
53	1039
54	993
55	836
56	710
57	578
58	598
59	470
60	393
61	370
62	404
63	340
64	296
65	229
66	217
67	193
68	162
69	146
70	115
71	98
72	114
73	79
74	79
75	69
76	57
77	28
78	21
79	35
80	34
81	28
82	15
83	8
84	7
85	8
86	1
