coverage	n
1	0
2	0
3	0
4	4
5	4
6	18
7	19
8	11
9	27
10	52
11	78
12	129
13	161
14	300
15	447
16	663
17	839
18	850
19	927
20	1055
21	1068
22	1338
23	1475
24	1579
25	1711
26	1662
27	1800
28	1883
29	1674
30	1772
31	1846
32	1639
33	1452
34	1240
35	1181
36	1048
37	970
38	907
39	714
40	595
41	537
42	481
43	423
44	376
45	373
46	325
47	262
48	207
49	218
50	134
51	123
52	105
53	118
54	76
55	105
56	103
57	72
58	103
59	111
60	111
61	128
62	76
63	63
64	60
65	74
66	56
67	45
68	33
69	27
70	25
71	18
72	29
73	36
74	34
75	54
76	35
77	18
78	36
79	27
80	21
81	29
82	32
83	54
84	41
85	63
86	54
87	39
88	12
89	9
90	14
91	16
92	5
93	13
94	3
95	7
96	4
97	1
98	3
99	7
100	4
101	2
102	2
103	1
