coverage	n
1	7
2	0
3	0
4	0
5	7
6	8
7	27
8	18
9	106
10	167
11	173
12	378
13	471
14	493
15	608
16	790
17	945
18	1097
19	1237
20	1540
21	1713
22	1926
23	2287
24	2532
25	2603
26	2772
27	3175
28	3169
29	3247
30	3023
31	3004
32	2658
33	2567
34	2298
35	1978
36	1876
37	1580
38	1452
39	1346
40	1087
41	884
42	794
43	610
44	569
45	531
46	347
47	304
48	332
49	267
50	310
51	281
52	248
53	231
54	214
55	172
56	155
57	158
58	143
59	123
60	116
61	117
62	106
63	81
64	64
65	75
66	53
67	32
68	33
69	26
70	17
71	20
72	8
73	9
74	7
75	4
76	1
