coverage	n
1	0
2	4
3	0
4	0
5	0
6	0
7	0
8	0
9	14
10	68
11	70
12	69
13	69
14	128
15	181
16	209
17	286
18	381
19	621
20	928
21	1037
22	1193
23	1206
24	1520
25	1792
26	2146
27	2164
28	2473
29	2425
30	2578
31	2675
32	2833
33	2647
34	2519
35	2431
36	2428
37	2273
38	2178
39	2067
40	1792
41	1599
42	1579
43	1268
44	1226
45	1173
46	1036
47	729
48	710
49	628
50	592
51	626
52	444
53	378
54	333
55	263
56	205
57	171
58	153
59	118
60	101
61	55
62	86
63	52
64	18
65	34
66	32
67	26
68	11
69	19
70	30
71	11
72	6
73	3
