coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	7
8	31
9	28
10	46
11	111
12	163
13	332
14	523
15	607
16	977
17	1286
18	1577
19	1815
20	2057
21	2255
22	2484
23	2534
24	2659
25	2966
26	3005
27	3018
28	2995
29	3010
30	2770
31	2330
32	1930
33	1781
34	1420
35	1334
36	1155
37	1161
38	1015
39	906
40	593
41	537
42	423
43	292
44	248
45	131
46	112
47	109
48	85
49	55
50	53
51	18
52	11
53	18
54	9
55	5
56	4
57	4
58	1
59	2
60	0
61	2
62	3
63	4
64	1
65	1
66	3
67	2
68	2
69	1
70	1
71	1
72	2
73	3
74	2
75	2
76	2
77	0
78	2
79	0
80	0
81	0
82	0
83	0
84	0
85	1
86	2
87	1
