coverage	n
1	0
2	1
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	2
24	5
25	6
26	2
27	3
28	9
29	0
30	3
31	16
32	15
33	11
34	13
35	19
36	21
37	23
38	22
39	20
40	15
41	17
42	12
43	17
44	23
45	35
46	45
47	51
48	57
49	73
50	53
51	79
52	73
53	55
54	67
55	118
56	117
57	130
58	125
59	136
60	153
61	133
62	190
63	202
64	204
65	231
66	230
67	253
68	221
69	278
70	269
71	293
72	286
73	320
74	254
75	253
76	244
77	250
78	250
79	220
80	194
81	227
82	240
83	211
84	153
85	157
86	136
87	137
88	139
89	142
90	106
91	155
92	139
93	108
94	98
95	86
96	82
97	90
98	71
99	57
100	48
101	47
102	45
103	50
104	47
105	45
106	38
107	47
108	41
109	51
110	64
111	49
112	32
113	41
114	32
115	28
116	33
117	36
118	26
119	23
120	11
121	17
122	19
123	11
124	9
125	8
126	6
127	2
128	3
129	2
130	2
131	6
132	3
133	0
134	3
135	1
136	0
137	0
138	0
139	1
140	0
141	0
142	1
