coverage	n
1	0
2	0
3	1
4	0
5	1
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	1
37	4
38	16
39	19
40	20
41	21
42	26
43	39
44	45
45	24
46	19
47	45
48	35
49	26
50	34
51	29
52	31
53	38
54	45
55	64
56	55
57	58
58	75
59	69
60	98
61	113
62	121
63	120
64	193
65	194
66	193
67	163
68	164
69	180
70	197
71	200
72	184
73	189
74	166
75	147
76	125
77	147
78	146
79	132
80	129
81	132
82	144
83	115
84	100
85	97
86	83
87	83
88	76
89	62
90	58
91	51
92	50
93	61
94	78
95	73
96	79
97	62
98	57
99	51
100	47
101	42
102	59
103	51
104	31
105	40
106	31
107	33
108	26
109	21
110	25
111	25
112	8
113	12
114	9
115	6
116	5
117	5
118	3
119	3
120	8
121	2
122	3
123	5
124	7
125	2
126	1
127	0
128	4
129	2
130	4
131	2
132	0
133	1
