coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	7
21	9
22	12
23	2
24	2
25	1
26	5
27	0
28	2
29	15
30	34
31	23
32	8
33	6
34	20
35	41
36	34
37	51
38	61
39	98
40	72
41	74
42	61
43	78
44	60
45	75
46	84
47	58
48	51
49	79
50	62
51	56
52	42
53	66
54	56
55	78
56	58
57	59
58	35
59	48
60	69
61	57
62	57
63	36
64	25
65	27
66	31
67	49
68	41
69	19
70	21
71	25
72	21
73	21
74	19
75	10
76	24
77	25
78	19
79	21
80	25
81	26
82	41
83	39
84	46
85	39
86	21
87	31
88	46
89	54
90	35
91	32
92	34
93	30
94	35
95	30
96	27
97	24
98	16
99	15
100	10
101	7
102	8
103	6
104	8
105	17
106	9
107	11
108	3
109	3
110	0
111	13
112	5
113	8
114	9
115	11
116	6
117	12
118	8
119	6
120	4
121	3
122	4
123	2
124	2
125	2
