coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	1
11	1
12	0
13	3
14	0
15	0
16	0
17	6
18	3
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	3
33	7
34	3
35	4
36	8
37	9
38	8
39	14
40	10
41	7
42	1
43	11
44	27
45	25
46	43
47	42
48	40
49	45
50	40
51	75
52	61
53	89
54	104
55	123
56	125
57	121
58	157
59	192
60	187
61	179
62	208
63	227
64	265
65	298
66	274
67	293
68	265
69	276
70	288
71	310
72	326
73	335
74	370
75	331
76	299
77	368
78	337
79	342
80	333
81	376
82	351
83	413
84	439
85	472
86	509
87	507
88	546
89	561
90	490
91	549
92	529
93	539
94	481
95	490
96	451
97	409
98	409
99	365
100	332
101	362
102	374
103	338
104	320
105	386
106	374
107	350
108	324
109	290
110	243
111	261
112	260
113	251
114	238
115	233
116	229
117	220
118	188
119	204
120	170
121	164
122	149
123	154
124	151
125	152
126	138
127	129
128	109
129	92
130	92
131	49
132	65
133	51
134	44
135	51
136	30
137	38
138	19
139	20
140	21
141	16
142	20
143	18
144	8
145	7
146	12
147	12
148	2
149	0
150	0
151	0
152	2
