coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	1
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	6
19	2
20	5
21	8
22	4
23	8
24	15
25	18
26	18
27	32
28	20
29	26
30	25
31	43
32	62
33	72
34	62
35	86
36	101
37	91
38	85
39	75
40	121
41	117
42	105
43	146
44	142
45	150
46	157
47	127
48	130
49	173
50	205
51	231
52	231
53	242
54	176
55	196
56	215
57	214
58	269
59	248
60	301
61	288
62	326
63	303
64	319
65	301
66	281
67	311
68	338
69	311
70	348
71	319
72	329
73	307
74	332
75	273
76	329
77	297
78	307
79	267
80	261
81	303
82	255
83	277
84	276
85	263
86	225
87	220
88	203
89	193
90	241
91	242
92	230
93	193
94	162
95	128
96	145
97	101
98	146
99	107
100	109
101	83
102	78
103	68
104	57
105	53
106	32
107	48
108	41
109	62
110	65
111	57
112	56
113	54
114	46
115	34
116	24
117	18
118	18
119	12
120	7
121	15
122	22
123	9
124	9
125	8
126	9
127	7
128	7
129	2
130	3
131	1
132	3
133	1
134	1
135	2
136	5
137	1
138	2
139	2
140	1
141	1
142	1
143	1
144	3
145	2
146	3
147	0
148	2
149	3
150	3
151	2
152	1
153	1
