coverage	n
1	0
2	0
3	0
4	0
5	0
6	1
7	0
8	2
9	0
10	1
11	2
12	0
13	2
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	0
49	0
50	0
51	0
52	0
53	0
54	0
55	0
56	0
57	0
58	1
59	2
60	4
61	2
62	8
63	6
64	11
65	10
66	13
67	5
68	8
69	3
70	4
71	5
72	5
73	2
74	4
75	5
76	3
77	5
78	6
79	6
80	6
81	3
82	8
83	13
84	16
85	13
86	13
87	11
88	17
89	25
90	14
91	18
92	16
93	9
94	16
95	20
96	19
97	18
98	21
99	27
100	11
101	19
102	13
103	15
104	4
105	7
106	15
107	5
108	13
109	20
110	27
111	32
112	15
113	8
114	8
115	33
116	29
117	32
118	34
119	26
120	26
121	29
122	17
123	13
124	10
125	4
126	9
127	7
128	11
129	16
130	9
131	13
132	8
133	9
134	18
135	12
136	13
137	9
138	14
139	7
140	10
141	18
142	15
143	17
144	17
145	11
146	19
147	18
148	18
149	19
150	16
151	18
152	20
153	10
154	8
155	23
156	12
157	5
158	5
159	13
160	11
161	6
162	5
163	2
164	6
165	1
166	1
