coverage	n
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	3
30	4
31	2
32	0
33	2
34	5
35	8
36	7
37	10
38	12
39	11
40	7
41	6
42	7
43	15
44	44
45	49
46	56
47	44
48	51
49	70
50	68
51	50
52	34
53	45
54	47
55	61
56	56
57	46
58	35
59	40
60	44
61	48
62	50
63	32
64	40
65	33
66	35
67	25
68	20
69	14
70	25
71	29
72	21
73	18
74	12
75	9
76	14
77	11
78	24
79	18
80	17
81	13
82	20
83	16
84	12
85	15
86	12
87	13
88	7
89	10
90	17
91	5
92	1
93	1
94	0
95	0
96	0
97	7
98	7
99	6
100	3
101	6
102	2
103	5
104	3
105	2
106	1
107	0
108	1
109	1
