coverage	n
1	1
2	0
3	0
4	0
5	0
6	0
7	3
8	9
9	18
10	56
11	111
12	163
13	269
14	291
15	511
16	622
17	761
18	987
19	1485
20	1497
21	1947
22	2194
23	2502
24	2730
25	2922
26	3061
27	3262
28	3372
29	3366
30	2927
31	2790
32	2619
33	2104
34	2034
35	1745
36	1341
37	1128
38	885
39	685
40	607
41	514
42	396
43	250
44	266
45	221
46	137
47	129
48	101
49	46
50	17
51	10
52	0
53	3
54	0
55	1
56	0
57	0
58	0
59	1
60	1
61	2
62	0
63	0
64	0
65	0
66	0
67	0
68	1
69	0
70	3
71	2
72	0
73	1
74	2
75	3
76	4
77	0
78	1
79	1
80	3
81	0
82	0
83	4
84	1
85	2
86	4
87	0
88	2
89	1
90	0
91	0
92	1
93	1
94	0
95	4
96	0
97	2
98	3
99	0
100	0
101	0
102	0
103	2
104	2
105	1
