coverage	n
1	0
2	3
3	11
4	36
5	44
6	105
7	232
8	280
9	350
10	517
11	758
12	1034
13	1575
14	2496
15	3390
16	4522
17	5404
18	6915
19	8280
20	10087
21	11691
22	13208
23	14494
24	15522
25	16624
26	17066
27	17412
28	16835
29	16917
30	16272
31	15514
32	14638
33	13463
34	12113
35	10766
36	9904
37	8525
38	7621
39	6653
40	5372
41	4583
42	3648
43	2689
44	1978
45	1816
46	1632
47	1174
48	986
49	783
50	585
51	453
52	298
53	249
54	167
55	116
56	124
57	110
58	69
59	72
60	59
61	21
62	12
63	8
64	4
65	5
66	0
67	1
